date,code,ipodate,code_nam,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
1999-11-26,sh.600000,1999-11-10,浦发银行,2.5629963900,2.5853001800,2.5358439500,2.5649358500,2.5600872000,2282685,60508935.0000,2,0.713339,1,0.189398,0
1999-11-29,sh.600000,1999-11-10,浦发银行,2.5649358500,2.6017855900,2.5426320600,2.5532990900,2.5649358500,2681243,71099577.0000,2,0.837888,1,-0.453689,0
1999-11-30,sh.600000,1999-11-10,浦发银行,2.5503899000,2.5697845000,2.5319650300,2.5600872000,2.5532990900,2371355,62335742.0000,2,0.741048,1,0.265855,0
1999-12-01,sh.600000,1999-11-10,浦发银行,2.5513596300,2.6085737000,2.5416623300,2.5794818000,2.5600872000,2865195,76287992.0000,2,0.895373,1,0.757579,0
1999-12-02,sh.600000,1999-11-10,浦发银行,2.5717239600,2.5911185600,2.5426320600,2.5465109800,2.5794818000,1938487,51110241.0000,2,0.605777,1,-1.278196,0
1999-12-03,sh.600000,1999-11-10,浦发银行,2.5455412500,2.5843304500,2.5406926000,2.5562082800,2.5465109800,2552574,67291877.0000,2,0.797679,1,0.380809,0
1999-12-06,sh.600000,1999-11-10,浦发银行,2.5503899000,2.5552385500,2.4825088000,2.4883271800,2.5562082800,6983999,180516074.0000,2,2.182500,1,-2.655541,0
1999-12-07,sh.600000,1999-11-10,浦发银行,2.4825088000,2.5067520500,2.4728115000,2.4825088000,2.4883271800,3955769,101467905.0000,2,1.236178,1,-0.233825,0
1999-12-08,sh.600000,1999-11-10,浦发银行,2.4825088000,2.4980244800,2.4728115000,2.4757206900,2.4825088000,2236538,57214358.0000,2,0.698918,1,-0.273436,0
1999-12-09,sh.600000,1999-11-10,浦发银行,2.4728115000,2.4776601500,2.4534169000,2.4592352800,2.4757206900,2564635,65136972.0000,2,0.801448,1,-0.665883,0
1999-12-10,sh.600000,1999-11-10,浦发银行,2.4592352800,2.5309953000,2.4456590600,2.5183888100,2.4592352800,3553913,91041273.0000,2,1.110598,1,2.405358,0
1999-12-13,sh.600000,1999-11-10,浦发银行,2.5193585400,2.5649358500,2.4825088000,2.5135401600,2.5183888100,7058409,184655963.0000,2,2.205753,1,-0.192527,0
1999-12-14,sh.600000,1999-11-10,浦发银行,2.4922061000,2.5212980000,2.4922061000,2.5212980000,2.5135401600,1618462,41845145.0000,2,0.505769,1,0.308642,0
1999-12-15,sh.600000,1999-11-10,浦发银行,2.5212980000,2.6085737000,2.5116007000,2.5649358500,2.5212980000,6797886,180407899.0000,2,2.124339,1,1.730772,0
1999-12-16,sh.600000,1999-11-10,浦发银行,2.5697845000,2.5697845000,2.5164493500,2.5212980000,2.5649358500,3616200,94601476.0000,2,1.130062,1,-1.701326,0
1999-12-17,sh.600000,1999-11-10,浦发银行,2.5212980000,2.5339044900,2.4737812300,2.4805693400,2.5212980000,3565329,91807404.0000,2,1.114165,1,-1.615385,0
1999-12-21,sh.600000,1999-11-10,浦发银行,2.4679628500,2.4776601500,2.4379012200,2.4475985200,2.4805693400,4215311,106523995.0000,2,1.317285,1,-1.329164,0
1999-12-22,sh.600000,1999-11-10,浦发银行,2.4475985200,2.4582655500,2.4291736500,2.4388709500,2.4475985200,3083548,77614086.0000,2,0.963609,1,-0.356577,0
1999-12-23,sh.600000,1999-11-10,浦发银行,2.4437196000,2.4534169000,2.3952331000,2.4029909400,2.4388709500,4161561,103557903.0000,2,1.300488,1,-1.471169,0
1999-12-24,sh.600000,1999-11-10,浦发银行,2.3855358000,2.4311131100,2.3845660700,2.4000817500,2.4029909400,2832485,70142724.0000,2,0.885152,1,-0.121068,0
1999-12-27,sh.600000,1999-11-10,浦发银行,2.4000817500,2.4243250000,2.3758385000,2.3835963400,2.4000817500,2233778,55170691.0000,2,0.698056,1,-0.686869,0
1999-12-28,sh.600000,1999-11-10,浦发银行,2.3797174200,2.4320828400,2.3758385000,2.3855358000,2.3835963400,3176686,78430313.0000,2,0.992714,1,0.081369,0
1999-12-29,sh.600000,1999-11-10,浦发银行,2.3962028300,2.4214158100,2.3826266100,2.3913541800,2.3855358000,2284237,56436027.0000,2,0.713824,1,0.243900,0
1999-12-30,sh.600000,1999-11-10,浦发银行,2.4146277000,2.4233552700,2.3903844500,2.4000817500,2.3913541800,2333169,57888237.0000,2,0.729115,1,0.364964,0
2000-01-04,sh.600000,1999-11-10,浦发银行,2.4223855400,2.4999639400,2.4000817500,2.4795996100,2.4000817500,4496068,113946783.0000,2,1.405021,1,3.313130,0
2000-01-05,sh.600000,1999-11-10,浦发银行,2.4795996100,2.5193585400,2.4388709500,2.4514774400,2.4795996100,5252814,134465427.0000,2,1.641504,1,-1.134138,0
2000-01-06,sh.600000,1999-11-10,浦发银行,2.4417801400,2.5503899000,2.4291736500,2.5203282700,2.4514774400,6229651,160059798.0000,2,1.946766,1,2.808541,0
2000-01-07,sh.600000,1999-11-10,浦发银行,2.5503899000,2.6667575000,2.5329347600,2.6085737000,2.5203282700,21355330,575751082.0000,2,6.673541,1,3.501346,0
2000-01-10,sh.600000,1999-11-10,浦发银行,2.6182710000,2.7006980500,2.5901488300,2.6425142500,2.6085737000,16539731,450453518.0000,2,5.168666,1,1.301117,0
2000-01-11,sh.600000,1999-11-10,浦发银行,2.6425142500,2.6473629000,2.5329347600,2.5406926000,2.6425142500,9390776,251055911.0000,2,2.934617,1,-3.853208,0
2000-01-12,sh.600000,1999-11-10,浦发银行,2.5212980000,2.5212980000,2.4049304000,2.4359617600,2.5406926000,35274913,889867340.0000,2,8.818728,1,-4.122137,0
2000-01-13,sh.600000,1999-11-10,浦发银行,2.4243250000,2.4485682500,2.4049304000,2.4146277000,2.4359617600,7975643,199244304.0000,2,1.993911,1,-0.875801,0
2000-01-14,sh.600000,1999-11-10,浦发银行,2.4126882400,2.4243250000,2.3186244300,2.3467466000,2.4146277000,17861876,434206087.0000,2,4.465469,1,-2.811240,0
2000-01-17,sh.600000,1999-11-10,浦发银行,2.3351098400,2.3700201200,2.3031087500,2.3661412000,2.3467466000,8101523,194776964.0000,2,2.025381,1,0.826442,0
2000-01-18,sh.600000,1999-11-10,浦发银行,2.3758385000,2.3826266100,2.3157152400,2.3409282200,2.3661412000,7693316,185091684.0000,2,1.923329,1,-1.065575,0
2000-01-19,sh.600000,1999-11-10,浦发银行,2.3409282200,2.3554741700,2.3254125400,2.3399584900,2.3409282200,4658411,112325238.0000,2,1.164603,1,-0.041426,0
2000-01-20,sh.600000,1999-11-10,浦发银行,2.3389887600,2.3903844500,2.3370493000,2.3700201200,2.3399584900,5114418,124668176.0000,2,1.278604,1,1.284714,0
2000-01-21,sh.600000,1999-11-10,浦发银行,2.3768082300,2.3884449900,2.3351098400,2.3535347100,2.3700201200,8138669,197523215.0000,2,2.034667,1,-0.695581,0
2000-01-24,sh.600000,1999-11-10,浦发银行,2.3467466000,2.3515952500,2.3225033500,2.3448071400,2.3535347100,9250250,222404435.0000,2,2.312562,1,-0.370829,0
2000-01-25,sh.600000,1999-11-10,浦发银行,2.3448071400,2.4398406800,2.3448071400,2.3845660700,2.3448071400,7742275,191183031.0000,2,1.935569,1,1.695616,0
2000-01-26,sh.600000,1999-11-10,浦发银行,2.3855358000,2.4049304000,2.3574136300,2.3671109300,2.3845660700,2737753,67037918.0000,2,0.684438,1,-0.732006,0
2000-01-27,sh.600000,1999-11-10,浦发银行,2.3729293100,2.4029909400,2.3467466000,2.3845660700,2.3671109300,6335055,154926927.0000,2,1.583764,1,0.737404,0
2000-01-28,sh.600000,1999-11-10,浦发银行,2.3855358000,2.4340223000,2.3816568800,2.4282039200,2.3845660700,12362712,307633593.0000,2,3.090678,1,1.830015,0
2000-02-14,sh.600000,1999-11-10,浦发银行,2.5212980000,2.6648180400,2.4728115000,2.6376656000,2.4282039200,23739132,628039204.0000,2,5.934783,1,8.626197,0
2000-02-15,sh.600000,1999-11-10,浦发银行,2.6376656000,2.6648180400,2.4873574500,2.4902666400,2.6376656000,26267678,693158484.0000,2,6.566920,1,-5.588237,0
2000-02-16,sh.600000,1999-11-10,浦发银行,2.4728115000,2.4776601500,2.4155974300,2.4437196000,2.4902666400,19069058,478863316.0000,2,4.767264,1,-1.869157,0
2000-02-17,sh.600000,1999-11-10,浦发银行,2.4485682500,2.5600872000,2.3496557900,2.4146277000,2.4437196000,23044792,579973766.0000,2,5.761198,1,-1.190481,0
2000-02-18,sh.600000,1999-11-10,浦发银行,2.4146277000,2.4243250000,2.3564439000,2.3932936400,2.4146277000,9693463,237689141.0000,2,2.423366,1,-0.883531,0
2000-02-21,sh.600000,1999-11-10,浦发银行,2.4000817500,2.5503899000,2.3467466000,2.5019034000,2.3932936400,25510575,650679608.0000,2,6.377644,1,4.538083,0
2000-02-22,sh.600000,1999-11-10,浦发银行,2.5096612400,2.5212980000,2.3855358000,2.4000817500,2.5019034000,10517512,264067019.0000,2,2.629378,1,-4.069765,0
2000-02-23,sh.600000,1999-11-10,浦发银行,2.3855358000,2.4485682500,2.3758385000,2.3855358000,2.4000817500,6914567,171007817.0000,2,1.728642,1,-0.606059,0
2000-02-24,sh.600000,1999-11-10,浦发银行,2.3855358000,2.4243250000,2.3758385000,2.4068698600,2.3855358000,4648117,114760607.0000,2,1.162029,1,0.894306,0
2000-02-25,sh.600000,1999-11-10,浦发银行,2.4146277000,2.4214158100,2.3758385000,2.3855358000,2.4068698600,5814812,143173184.0000,2,1.453703,1,-0.886379,0
2000-02-28,sh.600000,1999-11-10,浦发银行,2.3855358000,2.4485682500,2.3612925500,2.4320828400,2.3855358000,9373418,231796184.0000,2,2.343355,1,1.951218,0
2000-02-29,sh.600000,1999-11-10,浦发银行,2.4446893300,2.4825088000,2.4049304000,2.4408104100,2.4320828400,10955908,275768296.0000,2,2.738977,1,0.358852,0
2000-03-01,sh.600000,1999-11-10,浦发银行,2.4437196000,2.6279683000,2.4408104100,2.5038428600,2.4408104100,41705102,1096015251.0000,2,10.426275,1,2.582438,0
2000-03-02,sh.600000,1999-11-10,浦发银行,2.4999639400,2.5212980000,2.4340223000,2.4650536600,2.5038428600,12999893,330633290.0000,2,3.249973,1,-1.549185,0
2000-03-03,sh.600000,1999-11-10,浦发银行,2.4825088000,2.5891791000,2.4805693400,2.5212980000,2.4650536600,16109828,420418261.0000,2,4.027457,1,2.281668,0
2000-03-06,sh.600000,1999-11-10,浦发银行,2.5678450400,2.6085737000,2.4776601500,2.4825088000,2.5212980000,20616164,542130542.0000,2,5.154041,1,-1.538460,0
2000-03-07,sh.600000,1999-11-10,浦发银行,2.4437196000,2.5503899000,2.4252947300,2.5019034000,2.4825088000,11132997,284899208.0000,2,2.783249,1,0.781246,0
2000-03-08,sh.600000,1999-11-10,浦发银行,2.5212980000,2.5387531400,2.4660233900,2.4912363700,2.5019034000,5771422,148007818.0000,2,1.442855,1,-0.426351,0
2000-03-09,sh.600000,1999-11-10,浦发银行,2.4922061000,2.6657877700,2.4611747400,2.5600872000,2.4912363700,26490973,704219251.0000,2,6.622743,1,2.763718,0
2000-03-10,sh.600000,1999-11-10,浦发银行,2.5600872000,2.5697845000,2.4737812300,2.4844482600,2.5600872000,10570004,273452598.0000,2,2.642501,1,-2.954541,0
2000-03-13,sh.600000,1999-11-10,浦发银行,2.4825088000,2.5193585400,2.4592352800,2.4757206900,2.4844482600,5566374,142355325.0000,2,1.391594,1,-0.351289,0
2000-03-14,sh.600000,1999-11-10,浦发银行,2.4243250000,2.4650536600,2.4049304000,2.4650536600,2.4757206900,11375155,285003725.0000,2,2.843789,1,-0.430868,0
2000-03-15,sh.600000,1999-11-10,浦发银行,2.4631142000,2.4650536600,2.4243250000,2.4379012200,2.4650536600,4219978,106073477.0000,2,1.054995,1,-1.101498,0
2000-03-16,sh.600000,1999-11-10,浦发银行,2.4243250000,2.4320828400,2.3545044400,2.3758385000,2.4379012200,7570241,187216559.0000,2,1.892560,1,-2.545741,0
2000-03-17,sh.600000,1999-11-10,浦发银行,2.3758385000,2.4437196000,2.3661412000,2.4107487800,2.3758385000,4270447,106042791.0000,2,1.067612,1,1.469390,0
2000-03-20,sh.600000,1999-11-10,浦发银行,2.3758385000,2.4437196000,2.3758385000,2.4262644600,2.4107487800,4387604,109489001.0000,2,1.096901,1,0.643604,0
2000-03-21,sh.600000,1999-11-10,浦发银行,2.4417801400,2.4437196000,2.4068698600,2.4243250000,2.4262644600,4409904,110102522.0000,2,1.102476,1,-0.079938,0
2000-03-22,sh.600000,1999-11-10,浦发银行,2.4320828400,2.4931758300,2.4126882400,2.4572958200,2.4243250000,4522034,114100496.0000,2,1.130508,1,1.360001,0
2000-03-23,sh.600000,1999-11-10,浦发银行,2.4582655500,2.4902666400,2.4437196000,2.4737812300,2.4572958200,5887205,149693415.0000,2,1.471801,1,0.670876,0
2000-03-24,sh.600000,1999-11-10,浦发银行,2.5222677300,2.6231196500,2.4737812300,2.4737812300,2.4737812300,21856415,575302201.0000,2,5.464104,1,0.000000,0
2000-03-27,sh.600000,1999-11-10,浦发银行,2.4931758300,2.5465109800,2.4631142000,2.5116007000,2.4737812300,6161135,158738686.0000,2,1.540284,1,1.528810,0
2000-03-28,sh.600000,1999-11-10,浦发银行,2.5242071900,2.5503899000,2.4485682500,2.4728115000,2.5116007000,7074201,180806578.0000,2,1.768550,1,-1.544400,0
2000-03-29,sh.600000,1999-11-10,浦发银行,2.4776601500,2.4922061000,2.4301433800,2.4417801400,2.4728115000,7495200,189202622.0000,2,1.873800,1,-1.254901,0
2000-03-30,sh.600000,1999-11-10,浦发银行,2.4485682500,2.4941455600,2.4485682500,2.4611747400,2.4417801400,4400762,111744655.0000,2,1.100190,1,0.794277,0
2000-03-31,sh.600000,1999-11-10,浦发银行,2.4679628500,2.4805693400,2.4340223000,2.4456590600,2.4611747400,4320394,109090852.0000,2,1.080099,1,-0.630417,0
