code,rps,gains
sz.300274,99.97342545841084,480.06042296072513
sh.603486,99.94685091682169,233.33333333333331
sh.600189,99.92027637523253,193.2714617169374
sz.002759,99.89370183364336,191.81818181818187
sz.002176,99.86712729205422,187.1508379888268
sz.002192,99.84055275046505,184.75499092558982
sz.002594,99.8139782088759,180.82994096065457
sz.000799,99.78740366728674,178.44671884406984
sz.300313,99.76082912569758,172.72727272727272
sh.601633,99.73425458410843,169.85138004246284
sh.603025,99.70768004251926,163.7243047158404
sz.002612,99.68110550093012,161.94690265486724
sh.601015,99.65453095934095,161.73633440514473
sz.000568,99.62795641775179,153.9995901064956
sz.000155,99.60138187616263,152.51798561151082
sh.600702,99.57480733457348,151.5027465724803
sh.603110,99.54823279298432,151.18187275744268
sz.002709,99.52165825139517,150.9443725743855
sz.000995,99.49508370980601,143.77510040160647
sh.603185,99.46850916821684,141.70991532368205
sz.000615,99.4419346266277,140.58295964125563
sh.600121,99.41536008503853,138.61386138613864
sh.600809,99.38878554344937,132.73582133411693
sh.600399,99.36221100186022,130.96366508688783
sz.002919,99.33563646027106,129.1350531107739
sz.002245,99.3090619186819,128.5714285714286
sz.000301,99.28248737709275,125.68027210884354
sz.002568,99.2559128355036,122.5105096526695
sh.601058,99.22933829391442,119.08212560386475
sh.601919,99.20276375232527,118.08731808731811
sz.300763,99.17618921073611,116.01200195114232
sh.603267,99.14961466914696,115.49202127659572
sz.002756,99.1230401275578,113.82235528942117
sz.300450,99.09646558596864,112.52847380410023
sz.002648,99.06989104437949,108.1846799580273
sz.000816,99.04331650279032,107.6388888888889
sh.601012,99.01674196120118,107.0710537438901
sh.688005,98.990167419612,106.61976335145509
sh.600660,98.96359287802285,105.17857142857143
sz.000626,98.9370183364337,105.04087193460492
sh.603799,98.91044379484454,104.79982780886785
sz.002497,98.88386925325538,104.45344129554654
sh.600409,98.85729471166623,103.70994940978078
sz.300225,98.83072017007707,103.46487006737246
sz.002493,98.8041456284879,103.34231805929919
sh.600559,98.77757108689875,102.47011952191234
sz.002407,98.75099654530959,102.34578627280627
sh.600199,98.72442200372043,100.86705202312139
sh.600290,98.69784746213128,100.68493150684934
sz.002571,98.67127292054212,100.35460992907804
sh.600031,98.64469837895297,98.28326180257511
sh.600132,98.6181238373638,96.99342749265836
sz.002027,98.59154929577466,96.25850340136053
